student_id,subject_id,subjecT_type,grade(num),grade,semester,year,curriculum
63ff5b2e627f0162eb706e16098a6001,01076002,ซอฟต์แวร์,3,B,1,2560,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01006031,คณิตศาสตร์,3,B,2,2560,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076003,ฮาร์ดแวร์,3,B,2,2560,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076004,ซอฟต์แวร์,1,D,2,2560,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076012,คณิตศาสตร์,1,D,2,2560,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01006032,คณิตศาสตร์,3.5,B+,1,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076005,ซอฟต์แวร์,2,C,1,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076006,ฮาร์ดแวร์,3,B,1,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076007,เน็ตเวิร์ค,2,C,1,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076008,ซอฟต์แวร์,1.5,D+,2,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076010,เน็ตเวิร์ค,1,D,2,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076253,คณิตศาสตร์,2.5,C+,2,2561,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076024,ซอฟต์แวร์,2,C,1,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076026,ซอฟต์แวร์,3.5,B+,1,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076263,ซอฟต์แวร์,2.5,C+,1,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076009,ฮาร์ดแวร์,2.5,C+,2,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076013,คณิตศาสตร์,2.5,C+,2,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076014,อื่นๆ,3,B,2,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076028,เน็ตเวิร์ค,3,B,2,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01006004,เลือกภาค,4,S,3,2562,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076011,ซอฟต์แวร์,1.5,D+,1,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076015,อื่นๆ,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076311,อื่นๆ,3.5,B+,1,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076568,เลือกภาค,3,B,1,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076023,ฮาร์ดแวร์,2,C,2,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076025,ซอฟต์แวร์,2.5,C+,2,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076312,อื่นๆ,3.5,B+,2,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076582,เลือกภาค,2.5,C+,2,2563,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076021,ฮาร์ดแวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,01076022,ฮาร์ดแวร์,,,1,2564,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01006028,เลือกภาค,4,A,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01006030,คณิตศาสตร์,1,D,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076001,ฮาร์ดแวร์,2.5,C+,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076002,ซอฟต์แวร์,2.5,C+,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01006031,คณิตศาสตร์,0,F,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076003,ฮาร์ดแวร์,1.5,D+,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076004,ซอฟต์แวร์,1.5,D+,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076012,คณิตศาสตร์,1,D,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01006031,คณิตศาสตร์,2,C,3,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076006,ฮาร์ดแวร์,1.5,D+,1,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076007,เน็ตเวิร์ค,0,F,1,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076005,ซอฟต์แวร์,0,F,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076009,ฮาร์ดแวร์,0,F,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076010,เน็ตเวิร์ค,1,D,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076253,คณิตศาสตร์,2,C,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,01076005,ซอฟต์แวร์,0,F,1,2562,วิศวกรรมคอมพิวเตอร์
